id,new,old,group,system,link,img
134,90,53,VideoServer,OneTV,A,
135,91,54,VideoServer,OneTV,B,
136,49,36,VideoServer,OneTV,PlayOut 1 Aux. A,
137,50,37,VideoServer,OneTV,PlayOut 1 Aux. B,
138,45,32,VideoServer,OneTV,PlayOut 1 Canal A,
139,46,33,VideoServer,OneTV,PlayOut 1 Canal B,
140,47,34,VideoServer,OneTV,PlayOut 2 Canal A,
141,48,35,VideoServer,OneTV,PlayOut 2 Canal B,
142,92,97,VideoServer,VectorBox,OUT A,
143,93,98,VideoServer,VectorBox,OUT B,
